"Step","object_C_fine - magic123/loss_rgb","object_C_fine - magic123/loss_rgb__MIN","object_C_fine - magic123/loss_rgb__MAX","object_C_coarse - magic123/loss_rgb","object_C_coarse - magic123/loss_rgb__MIN","object_C_coarse - magic123/loss_rgb__MAX"
"43","0.0028666905127465725","0.0028666905127465725","0.0028666905127465725","0.27375075221061707","0.27375075221061707","0.27375075221061707"
"44","0.002698213327676058","0.002698213327676058","0.002698213327676058","0.27306538820266724","0.27306538820266724","0.27306538820266724"
"45","0.002537368331104517","0.002537368331104517","0.002537368331104517","0.2731306254863739","0.2731306254863739","0.2731306254863739"
"46","0.002388240769505501","0.002388240769505501","0.002388240769505501","0.2706433832645416","0.2706433832645416","0.2706433832645416"
"47","0.0022570528090000153","0.0022570528090000153","0.0022570528090000153","0.26928040385246277","0.26928040385246277","0.26928040385246277"
"48","0.002137165516614914","0.002137165516614914","0.002137165516614914","0.2682039737701416","0.2682039737701416","0.2682039737701416"
"49","0.0020259148441255093","0.0020259148441255093","0.0020259148441255093","0.25923824310302734","0.25923824310302734","0.25923824310302734"
"50","0.0019172405591234565","0.0019172405591234565","0.0019172405591234565","0.26013779640197754","0.26013779640197754","0.26013779640197754"
"51","0.0018098920118063688","0.0018098920118063688","0.0018098920118063688","0.26015838980674744","0.26015838980674744","0.26015838980674744"
"52","0.0017161908326670527","0.0017161908326670527","0.0017161908326670527","0.2586369216442108","0.2586369216442108","0.2586369216442108"
